"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 22:55:04 ICT 2024","Fri Jun 07 22:55:16 ICT 2024","11663","mobile","login.test.ts","","","","Login test demo",""
"passed","Fri Jun 07 22:55:04 ICT 2024","Fri Jun 07 22:55:16 ICT 2024","11700","chromium","login.test.ts","","","","Login test demo",""
